unregistered,num_submitted,max_score,num_assessments,avg_score,active_days,min_score,std_score,total_clicks,avg_clicks_day,studied_credits,num_failed_assess,num_of_prev_attempts,imd_band_enc,highest_education_enc,risk_level,at_risk_binary,id_student,final_result
0,5.0,85.0,5.0,82.0,40.0,78.0,3.082207001484488,934.0,4.76530612244898,240,0.0,0,9,1,0,0,11391,Pass
0,5.0,70.0,5.0,66.4,80.0,60.0,4.335896677735761,1435.0,3.3372093023255816,60,0.0,0,2,1,0,0,28400,Pass
1,0.0,0.0,0.0,0.0,12.0,0.0,0.0,281.0,3.697368421052632,60,0.0,0,3,0,2,1,30268,Withdrawn
0,5.0,88.0,5.0,76.0,123.0,71.0,6.8920243760451125,2158.0,3.2549019607843137,60,0.0,0,5,0,0,0,31604,Pass
0,5.0,75.0,5.0,54.4,70.0,30.0,20.51341024793293,1034.0,2.9375,60,2.0,0,5,2,0,0,32885,Pass
0,5.0,79.0,5.0,68.0,143.0,50.0,10.977249200050077,2445.0,3.381742738589212,60,0.0,0,8,0,0,0,38053,Pass
0,5.0,75.0,5.0,68.0,90.0,62.0,4.949747468305833,1492.0,4.20281690140845,60,0.0,0,3,1,0,0,45462,Pass
0,5.0,73.0,5.0,72.4,105.0,72.0,0.5477225575051652,1428.0,2.689265536723164,120,0.0,0,9,0,0,0,45642,Pass
0,5.0,75.0,5.0,71.4,122.0,68.0,2.6076809620810586,1894.0,3.193929173693086,90,0.0,0,7,0,0,0,52130,Pass
0,5.0,81.0,5.0,78.0,142.0,71.0,4.062019202317981,3158.0,3.493362831858407,60,0.0,0,2,4,0,0,53025,Pass
0,5.0,80.0,5.0,74.0,90.0,68.0,5.656854249492381,1319.0,3.272952853598015,60,0.0,0,7,2,0,0,57506,Pass
0,5.0,78.0,5.0,73.2,120.0,68.0,3.5637059362410923,1732.0,3.2927756653992395,60,0.0,0,2,0,0,0,58873,Pass
0,5.0,89.0,5.0,78.6,61.0,67.0,9.864076236526156,1102.0,3.1942028985507247,60,0.0,0,6,2,0,0,59185,Pass
0,5.0,85.0,5.0,76.0,148.0,70.0,5.6568542494923815,3388.0,3.45361875637105,60,0.0,0,5,1,0,0,62155,Pass
0,5.0,83.0,5.0,71.6,175.0,42.0,16.742162345408076,2737.0,3.601315789473684,60,0.0,0,4,2,0,0,63400,Pass
1,2.0,68.0,4.0,67.0,13.0,66.0,1.1547005383792517,176.0,3.142857142857143,60,0.0,0,7,0,2,1,65002,Withdrawn
0,5.0,61.0,5.0,55.6,46.0,38.0,9.864076236526156,1053.0,5.136585365853659,60,1.0,0,6,0,0,0,70464,Pass
0,5.0,86.0,5.0,80.4,135.0,75.0,4.39317652729776,2327.0,3.196428571428572,60,0.0,0,2,1,0,0,71361,Pass
0,4.0,67.0,4.0,48.5,14.0,18.0,21.641010450839243,116.0,1.6111111111111112,150,1.0,0,1,0,1,1,74372,Fail
0,5.0,67.0,5.0,66.0,122.0,65.0,1.0000000000000004,2992.0,3.9681697612732094,60,0.0,0,3,0,0,0,75091,Pass
0,5.0,76.0,5.0,70.4,86.0,64.0,4.82700735445887,680.0,2.5092250922509227,60,0.0,0,3,0,0,0,77367,Pass
0,5.0,75.0,5.0,70.8,125.0,57.0,7.758865896508328,1494.0,3.0120967741935485,60,0.0,0,0,1,0,0,91265,Pass
1,5.0,74.0,6.0,65.33333333333333,93.0,55.0,8.115828156551045,1240.0,2.973621103117506,60,0.0,0,7,2,2,1,94961,Withdrawn
0,5.0,62.0,5.0,60.6,91.0,59.0,1.51657508881031,2839.0,7.354922279792746,60,0.0,0,7,2,0,0,98094,Pass
0,5.0,74.0,5.0,68.4,52.0,63.0,4.27784992724149,744.0,3.061728395061728,60,0.0,0,2,0,0,0,100893,Pass
0,5.0,84.0,5.0,72.6,144.0,64.0,7.987490219086344,4104.0,4.495071193866375,60,0.0,0,8,2,0,0,101781,Pass
0,5.0,86.0,5.0,78.0,177.0,60.0,10.677078252031311,1944.0,2.4891165172855314,60,0.0,0,3,0,0,0,102806,Pass
0,5.0,83.0,5.0,76.6,58.0,70.0,5.412947441089744,1150.0,3.674121405750799,60,0.0,0,6,1,0,0,102952,Pass
0,5.0,85.0,5.0,79.6,161.0,77.0,3.209361307176242,4777.0,4.815524193548387,60,0.0,0,2,4,0,0,104476,Pass
1,3.0,67.0,3.0,60.0,33.0,47.0,11.269427669584644,465.0,3.206896551724138,60,0.0,0,8,1,2,1,106247,Withdrawn
0,5.0,65.0,5.0,53.4,47.0,38.0,9.96493853468249,733.0,3.316742081447964,60,1.0,0,2,2,0,0,106577,Pass
0,5.0,69.0,5.0,63.4,70.0,53.0,6.580273550544841,998.0,2.9096209912536444,60,0.0,0,8,1,0,0,110175,Pass
0,3.0,83.0,3.0,81.0,136.0,80.0,1.7320508075688772,2343.0,3.9779286926994906,60,0.0,0,9,1,0,0,111717,Pass
0,5.0,81.0,5.0,77.6,195.0,75.0,2.1908902300206634,3553.0,3.5494505494505493,60,0.0,0,6,2,0,0,113295,Pass
0,5.0,76.0,5.0,71.8,50.0,66.0,3.7682887362833535,757.0,3.277056277056277,60,0.0,0,2,4,0,0,114017,Pass
0,5.0,80.0,5.0,72.8,120.0,54.0,10.756393447619883,1358.0,2.662745098039216,60,0.0,0,6,1,0,0,114999,Pass
0,5.0,76.0,5.0,62.4,108.0,50.0,9.528903399657276,1886.0,3.669260700389105,60,0.0,0,0,1,0,0,116541,Pass
